split,image,width,height,megapixels,brightness,sharpness,read_error,flag_blur,flag_dark,flag_overexposed,flag_low_resolution,review_required,refinement_decision,lighting_group
train,20230620_160217ll.jpg,3000,4000,12.0,151.73331841666666,898.4910017101987,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160218ll.jpg,3000,4000,12.0,154.71258791666668,905.4942894813599,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160221ll.jpg,3000,4000,12.0,148.12528733333335,858.8850448504888,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160245ll.jpg,3000,4000,12.0,147.71754658333333,316.46582209126933,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160253ll.jpg,3000,4000,12.0,162.26156858333334,178.713579335975,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160300ll.jpg,3000,4000,12.0,155.69348458333334,1248.6195725838584,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160304ll.jpg,3000,4000,12.0,137.45146991666667,1522.8548831980797,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160342ll.jpg,3000,4000,12.0,150.93322116666667,1584.8912969298224,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160345ll.jpg,3000,4000,12.0,163.40550733333333,1017.1624856587457,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160351ll.jpg,3000,4000,12.0,163.74234508333333,979.4610988897116,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160353ll.jpg,3000,4000,12.0,137.12150183333333,355.61266022683986,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160402ll.jpg,3000,4000,12.0,154.3158545,222.0256395522105,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160408ll.jpg,3000,4000,12.0,168.857001,48.21716171660243,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230620_160419ll.jpg,3000,4000,12.0,147.62788233333333,168.33457613377584,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160431ll.jpg,3000,4000,12.0,144.63982441666667,403.5177260801317,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160435ll.jpg,3000,4000,12.0,126.75484233333333,219.14311782800436,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160517ll.jpg,3000,4000,12.0,142.96031983333333,118.19415388417661,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160522ll.jpg,3000,4000,12.0,146.32653225,55.202708549507996,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230620_160525ll.jpg,3000,4000,12.0,132.72093316666667,439.73757716648436,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160930ll.jpg,3000,4000,12.0,153.17903325,1252.2707034319978,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161001ll.jpg,3000,4000,12.0,150.58104208333333,762.3484559820531,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161003ll.jpg,3000,4000,12.0,159.58733141666667,436.31645474976744,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161019ll.jpg,3000,4000,12.0,135.49759291666666,331.85975616278125,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161021ll.jpg,3000,4000,12.0,158.10502308333332,287.7471982737974,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161023ll.jpg,3000,4000,12.0,137.33937941666667,147.96387972747502,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161026ll.jpg,3000,4000,12.0,144.226855,137.32083263207065,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161029ll.jpg,3000,4000,12.0,156.87983675,344.33317490043163,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161031ll.jpg,3000,4000,12.0,158.9076705,239.87486408040834,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161043ll.jpg,3000,4000,12.0,155.27398308333332,542.866884662864,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161046ll.jpg,3000,4000,12.0,146.20154808333334,1233.5470770764582,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161048ll.jpg,3000,4000,12.0,156.36142358333333,715.7673116615782,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161052ll.jpg,3000,4000,12.0,159.20822641666666,518.8482239094841,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161057ll.jpg,3000,4000,12.0,130.59872308333334,536.4548186659993,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161103ll.jpg,3000,4000,12.0,136.31742525,306.30152333277323,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161110ll.jpg,3000,4000,12.0,130.31014408333334,176.89934849394197,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161115ll.jpg,3000,4000,12.0,125.32438958333333,912.2085087271232,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161122ll.jpg,3000,4000,12.0,136.72069091666665,485.2247409397297,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161129ll.jpg,3000,4000,12.0,132.07930291666668,758.6511182264123,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161134ll.jpg,3000,4000,12.0,131.90646166666667,231.5120345640532,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161140ll.jpg,3000,4000,12.0,131.47011,1134.6965926646715,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161145ll.jpg,3000,4000,12.0,135.592114,924.600115312771,False,False,False,False,False,False,RETAIN,Normal
train,20230620_161150ll.jpg,3000,4000,12.0,158.06098558333332,150.7534353888611,False,False,False,False,False,False,RETAIN,Normal
val,20230614_150823ll.jpg,3000,4000,12.0,142.13264216666667,601.5786543332266,False,False,False,False,False,False,RETAIN,Normal
val,20230614_150932ll.jpg,3000,4000,12.0,128.43175391666668,1760.4490523280529,False,False,False,False,False,False,RETAIN,Normal
val,20230614_150959ll.jpg,3000,4000,12.0,148.55251075,301.31601841198585,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160047ll.jpg,3000,4000,12.0,158.45437791666666,129.039799245455,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160054ll.jpg,3000,4000,12.0,106.71107858333333,148.77565362538996,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160109ll.jpg,3000,4000,12.0,122.38880066666667,1319.9098494956681,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160150ll.jpg,3000,4000,12.0,158.15076191666665,327.01326082108625,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160222ll.jpg,3000,4000,12.0,149.247829,1022.1346361539809,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160338ll.jpg,3000,4000,12.0,131.65929825,2766.745909182539,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160513ll.jpg,3000,4000,12.0,158.14912975,156.6331169046216,False,False,False,False,False,False,RETAIN,Normal
val,20230620_160530ll.jpg,3000,4000,12.0,128.56599566666668,276.887662097835,False,False,False,False,False,False,RETAIN,Normal
val,20230620_161015ll.jpg,3000,4000,12.0,150.29285258333334,250.305117860871,False,False,False,False,False,False,RETAIN,Normal
val,20230620_161149ll.jpg,3000,4000,12.0,156.04802808333332,415.9305484995233,False,False,False,False,False,False,RETAIN,Normal
test,20230614_151238ll.jpg,3000,4000,12.0,132.53290716666666,85.68638033028998,False,False,False,False,False,False,RETAIN,Normal
test,20230614_151246ll.jpg,3000,4000,12.0,128.59886408333332,38.49795465363263,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
test,20230620_160118ll.jpg,3000,4000,12.0,122.91887683333333,97.63861890664998,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160204ll.jpg,3000,4000,12.0,169.52531675,886.5934723021045,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160215ll.jpg,3000,4000,12.0,155.16468541666666,1488.2272870983372,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160337ll.jpg,3000,4000,12.0,130.65129975,2422.8561521068864,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160339ll.jpg,3000,4000,12.0,142.65608691666668,1555.7316038824724,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160454ll.jpg,3000,4000,12.0,175.48952175,209.48182115404788,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160735ll.jpg,3000,4000,12.0,170.70480166666667,1615.417987198032,False,False,False,False,False,False,RETAIN,Normal
test,20230620_160946ll.jpg,3000,4000,12.0,132.54650183333334,1029.8903042732654,False,False,False,False,False,False,RETAIN,Normal
test,20230620_161050ll.jpg,3000,4000,12.0,153.36047825,189.73221337456596,False,False,False,False,False,False,RETAIN,Normal
test,20230620_161104ll.jpg,3000,4000,12.0,131.54519266666668,331.4916181744208,False,False,False,False,False,False,RETAIN,Normal
